0	109.302
1	109.302
2	109.302
3	109.302
4	109.302
5	109.302
6	109.302
7	109.302
8	109.302
9	109.302
10	109.302
11	109.302
12	109.302
13	109.302
14	109.302
15	109.302
16	109.302
17	109.302
18	109.302
19	108.591
20	108.591
21	108.591
22	108.591
23	108.591
24	108.549
25	108.327
26	108.327
27	108.327
28	108.327
29	108.327
30	108.327
31	107.969
32	107.969
33	107.969
34	107.78
35	107.78
36	107.78
37	107.78
38	107.78
39	107.091
40	106.798
41	106.798
42	106.798
43	106.798
44	106.798
45	106.74
46	106.74
47	106.593
48	106.461
49	106.461
50	106.461
51	106.257
52	106.098
53	106.098
54	106.098
55	106.098
56	106.098
57	106.081
58	106.081
59	105.897
60	105.897
61	105.561
62	105.561
63	105.561
64	105.561
65	105.561
66	105.561
67	105.503
68	105.364
69	104.936
70	104.936
71	104.936
72	104.936
73	104.834
74	104.834
75	104.821
76	104.821
77	104.807
78	104.807
79	104.749
80	104.408
81	104.408
82	104.271
83	103.812
84	103.812
85	103.538
86	103.505
87	103.477
88	103.398
89	103.367
90	102.985
91	102.87
92	102.87
93	102.87
94	102.826
95	102.744
96	102.53
97	102.477
98	102.462
99	102.15
100	102.15
101	101.856
102	101.802
103	101.701
104	101.701
105	101.479
106	101.349
107	100.993
108	100.777
109	100.735
110	100.695
111	100.66
112	100.461
113	100.227
114	100.212
115	100.102
116	100.093
117	99.9161
118	99.9161
119	99.7458
120	99.6261
121	99.5395
122	99.4107
123	99.4107
124	99.4107
125	99.3582
126	99.0515
127	99.05
128	98.9245
129	98.6789
130	98.4547
131	98.4429
132	98.4429
133	98.3273
134	98.1758
135	98.1682
136	97.9828
137	97.978
138	97.7412
139	97.6984
140	97.5874
141	97.2763
142	97.0093
143	96.9443
144	96.8395
145	96.6099
146	96.5569
147	96.3972
148	96.1657
149	96.1049
150	95.9927
151	95.6633
152	95.441
153	95.2552
154	95.1289
155	94.8882
156	94.8305
157	94.7274
158	94.5894
159	94.5083
160	94.3164
161	94.2489
162	94.128
163	94.0528
164	93.9079
165	93.7934
166	93.6768
167	93.4956
168	93.3671
169	93.2084
170	92.9499
171	92.6976
172	92.4903
173	92.3573
174	92.1993
175	92.0433
176	91.9163
177	91.7851
178	91.6083
179	91.3985
180	91.2508
181	91.1539
182	90.9763
183	90.8591
184	90.6985
185	90.5875
186	90.3832
187	90.2334
188	90.0761
189	89.9112
190	89.7349
191	89.6747
192	89.5752
193	89.4859
194	89.3065
195	89.2044
196	89.0871
197	88.8993
198	88.6917
199	88.4675
